,Annual average(鈩?,Annual mean of daily maximum(鈩?,Annual mean of daily minimum(鈩?,Sampling month average(鈩?,Sampling moment(鈩?,Annual(mm),Sampling month(mm),GDP per capita (dollars),City population,Gammaproteobacteria,Bacteroidia,Unclassified,Alphaproteobacteria,Others,Clostridia,Anaerolineae,Parcubacteria,Polyangia,Planctomycetes,Verrucomicrobiae,Bdellovibrionia,Chlamydiae,Oligoflexia,Phycisphaerae,Gracilibacteria,Actinobacteria,Bacilli,Microgenomatia,Babeliae,ABY1,Saccharimonadia,Acidimicrobiia,Omnitrophia,Cyanobacteriia,Acidobacteriae,Myxococcia,Nanoarchaeia,Thermoleophilia,Blastocatellia,OM190,Spirochaetia,Nitrospiria,Chloroflexia,Kiritimatiellae,Ignavibacteria,Desulfuromonadia,Campylobacteria,Gemmatimonadetes,Vicinamibacteria,Fimbriimonadia,Vampirivibrionia,Desulfovibrionia,Negativicutes,Holophagae,Leptospirae,metagenome,Kapabacteria,Lineage IIb,Desulfobacteria,Hydrogenedentia
0,18,28,7,18,10.65714,661,55,14086,4178700,35.53515625,22.44140625,2.36328125,4.7734375,1.70703125,0.37890625,1.73046875,1.77734375,2.16796875,2.45703125,1.7109375,1.75390625,0.2578125,0.734375,0.6640625,0.4140625,0.22265625,0.125,0.078125,0.17578125,0.2578125,1.02734375,0.06640625,0.0546875,0.01171875,0.50390625,0.24609375,0.0234375,0.01953125,3.0234375,0.25390625,0.01171875,2.171875,0.11328125,0.09375,7.47265625,0.125,0.140625,0.41015625,0.22265625,0.734375,0.0546875,0.08203125,0.02734375,0.05859375,0.14453125,0.7578125,0.05859375,0.2578125,0.00390625,0.1015625
1,18,28,7,18,10.65714,661,55,14086,4178700,32.203125,23.75390625,2.66015625,5.140625,1.73828125,0.421875,1.74609375,1.55078125,2.16796875,2.42578125,1.51171875,1.96875,0.26953125,0.8203125,0.65234375,0.39453125,0.28125,0.1875,0.171875,0.19140625,0.25390625,1.05859375,0.0859375,0.0390625,0.015625,0.4765625,0.2421875,0,0.046875,3.05859375,0.16015625,0.01953125,2.80859375,0.12890625,0.15234375,7.52734375,0.12109375,0.1171875,0.41796875,0.265625,1.0078125,0.03515625,0.1015625,0.0234375,0.10546875,0.16015625,0.94140625,0.06640625,0.21484375,0.00390625,0.0859375
2,18,28,7,18,10.65714,661,55,14086,4178700,31.24609375,24.36328125,2.56640625,4.67578125,1.77734375,0.453125,1.76953125,1.515625,1.95703125,2.76171875,1.5234375,1.79296875,0.29296875,0.68359375,0.59375,0.421875,0.3203125,0.1328125,0.15625,0.22265625,0.27734375,1.12109375,0.109375,0.04296875,0.015625,0.41796875,0.26953125,0.01171875,0.0546875,3.078125,0.16796875,0.0078125,2.8359375,0.1328125,0.15625,8.734375,0.12109375,0.08984375,0.30859375,0.32421875,0.828125,0.03515625,0.0546875,0.046875,0.0546875,0.16796875,0.91796875,0.04296875,0.24609375,0,0.1015625
3,18,28,7,18,10.65714,661,55,14086,4178700,34.71484375,23.08203125,2.41015625,4.6171875,1.7265625,0.390625,1.6875,1.73046875,2.14453125,2.06640625,1.6953125,1.85546875,0.2734375,0.7578125,0.63671875,0.55859375,0.24609375,0.1484375,0.140625,0.20703125,0.2734375,1.0234375,0.09765625,0.03125,0.015625,0.4453125,0.29296875,0.02734375,0.04296875,3.171875,0.28125,0.01953125,2.125,0.1484375,0.14453125,7.34765625,0.109375,0.109375,0.39453125,0.28515625,0.87109375,0.04296875,0.0625,0.06640625,0.078125,0.171875,0.8125,0.078125,0.22265625,0.015625,0.1015625
4,18,28,7,18,10.65714,661,55,14086,4178700,30.4140625,24.94921875,2.50390625,4.6484375,1.64453125,0.40234375,1.73046875,1.96484375,2.05078125,2.66015625,1.6640625,2.05859375,0.3125,0.828125,0.515625,0.55859375,0.2109375,0.1171875,0.0546875,0.25390625,0.25,1.19140625,0.11328125,0.01953125,0.00390625,0.46484375,0.21875,0.015625,0.03125,3.51953125,0.19140625,0.0234375,2.5078125,0.09765625,0.10546875,8.30078125,0.09765625,0.09765625,0.29296875,0.26953125,0.87109375,0.0390625,0.0546875,0.03515625,0.05859375,0.2265625,0.90234375,0.0703125,0.265625,0,0.12109375
5,18,28,7,18,10.65714,661,55,14086,4178700,32.66796875,24.4453125,2.44140625,4.734375,1.6796875,0.359375,1.7734375,1.9375,1.9609375,2.296875,1.796875,1.84375,0.29296875,0.76953125,0.4296875,0.4375,0.22265625,0.125,0.13671875,0.2578125,0.29296875,1.0546875,0.08203125,0.046875,0.0234375,0.4453125,0.2109375,0.01953125,0.05078125,3.34765625,0.203125,0.02734375,2.24609375,0.140625,0.12890625,7.65625,0.11328125,0.1484375,0.40234375,0.234375,0.79296875,0.015625,0.109375,0.05859375,0.19921875,0.1640625,0.74609375,0.08984375,0.2265625,0.02734375,0.0859375
6,18,28,7,18,10.65714,661,55,14086,4178700,22.83203125,27.30859375,5.7421875,4.796875,3.2890625,1.01953125,2.625,1.5625,2.66015625,3.51953125,1.2421875,0.56640625,1.1171875,0.52734375,0.95703125,0.77734375,0.484375,0.41796875,0.24609375,0.328125,0.23046875,0.83984375,0.2578125,0.02734375,0.0234375,0.45703125,0.3828125,0.15625,0.09375,4.60546875,0.71484375,0.03125,2.21875,0.56640625,0.21875,3.03125,0.265625,0.08203125,0.6796875,0.671875,0.66796875,0.24609375,0.078125,0.0390625,0.296875,0.28125,0.25,0.35546875,0.171875,0.00390625,0.03515625
7,18,28,7,18,10.65714,661,55,14086,4178700,23.38671875,28.06640625,5.375,4.7578125,3.21875,0.88671875,2.33984375,1.5703125,2.9765625,3.44140625,1.34375,0.578125,1.1015625,0.4609375,0.90234375,0.78125,0.40625,0.40625,0.18359375,0.25390625,0.28515625,0.77734375,0.2109375,0.05078125,0.02734375,0.45703125,0.39453125,0.18359375,0.10546875,4.3125,0.703125,0.0390625,2.57421875,0.5625,0.21484375,2.6875,0.22265625,0.09765625,0.61328125,0.703125,0.71484375,0.21875,0.05859375,0.1015625,0.2890625,0.2734375,0.20703125,0.30859375,0.12890625,0.00390625,0.03515625
8,18,28,7,18,10.65714,661,55,14086,4178700,22.63671875,27.27734375,5.68359375,4.65234375,3.23828125,0.97265625,2.39453125,1.53515625,2.70703125,3.828125,1.3203125,0.55078125,1.234375,0.5,1.0078125,0.84765625,0.4453125,0.45703125,0.24609375,0.3046875,0.23046875,0.77734375,0.2578125,0.0703125,0.015625,0.45703125,0.45703125,0.19921875,0.078125,4.62109375,0.75390625,0.01953125,2.51171875,0.61328125,0.23828125,2.94140625,0.29296875,0.0625,0.578125,0.6796875,0.6171875,0.17578125,0.0390625,0.046875,0.30078125,0.359375,0.2734375,0.2421875,0.18359375,0.0078125,0.05859375
9,18,28,7,18,10.65714,661,55,14086,4178700,22.9453125,27.89453125,5.875,4.52734375,3.234375,0.8359375,2.25,1.578125,2.84765625,3.48046875,1.23828125,0.47265625,1.12890625,0.54296875,0.984375,0.8203125,0.40234375,0.4375,0.20703125,0.26953125,0.328125,0.734375,0.2734375,0.05078125,0.02734375,0.48046875,0.3828125,0.140625,0.08203125,4.41015625,0.8046875,0.0546875,2.67578125,0.55859375,0.17578125,2.6640625,0.25,0.05859375,0.609375,0.74609375,0.6015625,0.20703125,0.046875,0.08203125,0.33203125,0.375,0.23828125,0.3671875,0.22265625,0.0078125,0.0390625
